"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Brain Functional Connectivity as Biomarker for Propofol-Induced Alterations of Consciousness","A. A. S.; A. G. Ramakrishnan","Dept. of Electrical Engineering, Indian Institute of Science Bengaluru, India; Dept. of Electrical Engineering, Indian Institute of Science Bengaluru, India",2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"9 Dec 2021","2021","","","1928","1931","Understanding neural correlates of consciousness and its alterations poses a grand challenge for modern neuroscience. Even though recent years of research have shown many conceptual and empirical advances, the evolution of a system that can track anesthesia-induced loss of consciousness is hindered by the lack of reliable markers. The work presented herein estimates the functional connectivity (FC) between 21 scalp electroencephalogram (EEG) recordings to evaluate its utility in characterizing changes in brain networks during propofol sedation. The sedation dataset in the University of Cambridge data repository was used for analyses. FC was estimated using the debiased estimator of the squared Weighted Phase Lag Index (dWPLI2). Spectral FC networks before, during, and after sedation was considered for 5 EEG sub-bands. Results demonstrated significantly higher alpha band FC during baseline, mild and moderate sedation, and recovery stages. A striking association between frontal brain activity and propofol-sedation was also noticed. Furthermore, inhibition of frontal to parietal and frontal to occipital connections were observed as characteristic features of propofol-induced alterations in consciousness. A random subspace ensemble framework using logistic model tree as the base classifier, and 18 functional connections as features, yielded a cross-validation accuracy of 98.75% in discriminating baseline, mild and moderate sedation, and recovery stages. These findings validate that EEG-based FC can reliably distinguish altered conscious states associated with anaesthesia.","2694-0604","978-1-7281-1179-7","10.1109/EMBC46164.2021.9629617","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9629617","Functional connectivity (FC);electroencephalogram (EEG);consciousness;propofol sedation","Neuroscience;Correlation;Biological system modeling;Scalp;Brain modeling;Electroencephalography;Reliability","Biomarkers;Brain;Consciousness;Electroencephalography;Propofol","","","25","IEEE","9 Dec 2021","1-5 Nov. 2021","1-5 Nov. 2021","IEEE","IEEE Conferences"
"Comparison of the Properties of EEG Spindles in Sleep and Propofol Anesthesia","R. Ferenets; T. Lipping; P. Suominen; J. Turunen; P. Puumala; V. Jantti; S. -L. Himanen; A. -M. Huotari","Biomedical Engineering Center, Tallinn University of Technology, Tallinn, Estonia; Department of Information Technology, Pori Tampere University of Technology, Pori, Finland; Department of Information Technology, Pori Tampere University of Technology, Pori, Finland; Department of Information Technology, Pori Tampere University of Technology, Pori, Finland; Department of Anaesthesiology, Tampere University Hospital, Tampere, Finland; Department of Clinical Neurophysiology, Tampere University Hospital, Tampere, Finland; Department of Clinical Neurophysiology, Tampere University Hospital, Tampere, Finland; Department of Anaesthesiology, Oulu University Hospital, Oulu, Finland",2006 International Conference of the IEEE Engineering in Medicine and Biology Society,"15 Dec 2016","2006","","","6356","6359","Electroencephalogram spindle patterns corresponding to two different phenomena-natural sleep and propofol anesthesia-are compared. The spindles are extracted from 5 overnight sleep recordings and 10 recordings of deep propofol anesthesia. Mean frequency, angle of the trend in instant frequency as well as 3 nonlinear parameters-spectral entropy, approximate entropy, and Higuchi fractal dimension-are calculated to characterize the spindle waveforms. Using the Wilcoxon rank sum test with significance level of 0.01, all the mentioned features, except approximate entropy, differ significantly for the two types of EEG spindles.","1557-170X","1-4244-0032-5","10.1109/IEMBS.2006.259909","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4463264","","Electroencephalography;Sleep;Anesthesia;Frequency;Entropy;Hospitals;Electrodes;Fractals;Anesthetic drugs;Information technology","Algorithms;Anesthesia;Anesthetics;Electroencephalography;Entropy;Humans;Models, Statistical;Nonlinear Dynamics;Polysomnography;Propofol;Signal Processing, Computer-Assisted;Sleep;Software;Time Factors","27","","13","IEEE","15 Dec 2016","30 Aug.-3 Sept. 2006","30 Aug.-3 Sept. 2006","IEEE","IEEE Conferences"
"Evaluating the DoC-Forest tool for Classifying the State of Consciousness in a Completely Locked-In Syndrome Patient","O. Kirsten; M. Bogdan; S. Adama","Leipzig University, Germany; Dept. Neuromorphic Information Processing, Leipzig University, Germany; Dept. Neuromorphic Information Processing, Leipzig University, Germany","2023 7th International Conference on Imaging, Signal Processing and Communications (ICISPC)","29 Dec 2023","2023","","","37","41","This paper shows how the DoC-Forest method can be used for classifying the state of consciousness in a Completely Locked-In Syndrome (CLIS) patient based on electrophysiological measurements of the patients’ brain activity. The DoC-Forest is a Machine Learning (ML) based method to classify whether patients with a Disorder of Consciousness (DoC) are either in the minimally conscious state (MCS) or have the unresponsive wakefulness syndrome (UWS). As labeled training data is unavailable for CLIS patients, Stereoelectroencephalography (sEEG) data obtained from patients undergoing anesthesia was used to train an ensemble of decision trees to classify the state of consciousness. The model achieves a predictive area under the curve (AUC) of 0.73 on out-of-sample data during training. The most important features for training the model on the anesthesia dataset were determined, and an explainable ML algorithm was used to quantify how features contributed to forming the predictions for the CLIS patient. For the CLIS dataset comprising ECoG measurements from one CLIS patient, there was a time period where the CLIS patient clearly was conscious. Based on the predictions of the model trained on the anesthesia dataset, this period was clearly identifiable, indicating that despite the differences in the underlying conditions (CLIS and anesthesia) and the different measurement methods (sEEG and ECoG) the model was able to extract robust patterns predictive of the state of consciousness.","2831-3984","979-8-3503-2507-2","10.1109/ICISPC59567.2023.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10371747","Completely Locked-In Syndrome;Complexity Measures;Computational Neuroscience;Consciousness;Information Theory;Machine Learning;Modeling and Prediction;Neuroscience;Signal Processing","Training;Computational modeling;Training data;Signal processing algorithms;Machine learning;Predictive models;Signal processing","","","","25","IEEE","29 Dec 2023","21-23 July 2023","21-23 July 2023","IEEE","IEEE Conferences"
"Effect of remifentanil on the nonlinear electroencephalographic entropy parameters in propofol anesthesia","J. Kortelainen; M. Koskinen; S. Mustola; T. Seppanen","Department of Electrical and Information Engineering, University of Oulu, Finland; Advanced Magnetic Imaging Centre and Brain Research Unit, Helsinki University of Technology, Finland; Department of Anesthesia, South Carelia Central Hospital, Lappeeranta, Finland; Department of Electrical and Information Engineering, University of Oulu, Finland",2009 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"13 Nov 2009","2009","","","4994","4997","Nonlinear electroencephalographic entropy parameters have been proposed for the assessment of depth of anesthesia. The influence of remifentanil, a commonly used intraoperative opioid, on these parameters, namely approximate entropy (ApEn), sample entropy (SampEn), and permutation entropy (PeEn), during induction of propofol anesthesia was studied. Remifentanil was shown to reduce the propofol-induced changes in ApEn and SampEn throughout the transition from awake to burst suppression state. Coadminis-tration of opioids therefore challenges the reliability of these parameters as indicators of depth of anesthesia. No consistent influence on PeEn was observed. However, this may have been due to strong interindividual variation in PeEn values.","1558-4615","978-1-4244-3296-7","10.1109/IEMBS.2009.5334612","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5334612","","Entropy;Anesthesia;Electroencephalography;Frequency;Data acquisition;USA Councils;Anesthetic drugs;Blood;Signal processing algorithms;Time measurement","Algorithms;Anesthesia;Anesthetics, Intravenous;Electroencephalography;Entropy;Humans;Piperidines;Propofol","3","","18","IEEE","13 Nov 2009","3-6 Sept. 2009","3-6 Sept. 2009","IEEE","IEEE Conferences"
"Phase synchronization of EEG in the head midline is associated with sleep-wakefulness stages","Y. Li; Y. Zhang; X. Yang; Z. Xu; X. Tang","China Astronaut Research and Training Center, State Key Laboratory of Space Medicine Fundamentals and Application, Beijing, China; China Astronaut Research and Training Center, State Key Laboratory of Space Medicine Fundamentals and Application, Beijing, China; China Astronaut Research and Training Center, State Key Laboratory of Space Medicine Fundamentals and Application, Beijing, China; China Astronaut Research and Training Center, State Key Laboratory of Space Medicine Fundamentals and Application, Beijing, China; School of Life Science, Beijing Institute of Technology, Beijing, China",2020 IEEE International Conference on Mechatronics and Automation (ICMA),"26 Oct 2020","2020","","","1587","1590","It is still unknown if the EEG phase-locking value (PLV) on the boundary between brain hemispheres is associated with sleep stages or not. Totally 39 EEG recordings were analyzed from the Expanded Sleep Database in EDF. Original EEG was decomposed into four bands. PLV was derived from Fpz-Cz and Pz-Oz. Using support-vector machine classifier for sleep-wakefulness classification, accuracies were 90.0% and 90.7% with linear kernel and radial basis function kernel, respectively. The phase-locking value derived from EEG bipolar leads between brain hemispheres are highly associated to sleep-wakefulness stages.","2152-744X","978-1-7281-6416-8","10.1109/ICMA49215.2020.9233668","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9233668","EEG;sleep-wakefulness classification;phase synchronization;phase-locking value","Mechatronics;Sleep;Neurons;Electroencephalography;Magnetic heads;Synchronization;Kernel","","1","","16","IEEE","26 Oct 2020","13-16 Oct. 2020","13-16 Oct. 2020","IEEE","IEEE Conferences"
"Classification of EEG bursts in deep sevoflurane, desflurane and isoflurane anesthesia using AR-modeling and entropy measures","T. Lipping; J. Stålnacke; E. Olejarczyk; R. Marciniak; V. Jäntti","Information Technology, Pori, University of Technology, Pori, Finland; Information Technology, Pori, University of Technology, Pori, Finland; Nalecz Institute of Biocybernetics and Biomedical Engineering, Polish Academy of Science, Warsaw, Poland; Medical University of Silesia, Katowice, Poland; Department of Clinical Neurophysiology, Seinäjoki Central Hospital, Seinäjoki, Finland",2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"26 Sep 2013","2013","","","5083","5086","A study relating signal patterns of burst onsets in burst suppression EEG to the anesthetic agent or anesthesia induction protocol is presented. A dataset of 82 recordings of sevoflurane, isoflurane and desflurane anesthesia underlies the study. 3 second segments from the onset of altogether 3214 bursts are described using AR model parameters, spectral entropy and sample entropy as features. The features are clustered using the K-means algorithm. The results indicate that no clear cut distinction can be made between the burst patterns induced by the mentioned anesthetics although bursts of certain properties are more common in certain patient groups. Several directions for further investigations are proposed based on visual inspection of the recordings.","1558-4615","978-1-4577-0216-7","10.1109/EMBC.2013.6610691","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6610691","","Entropy;Electroencephalography;Anesthesia;Drugs;Protocols;Brain modeling;Clustering algorithms","Algorithms;Anesthesia;Anesthetics, Inhalation;Cluster Analysis;Electroencephalography;Entropy;Humans;Isoflurane;Methyl Ethers","2","","7","IEEE","26 Sep 2013","3-7 July 2013","3-7 July 2013","IEEE","IEEE Conferences"
"Estimating integrated information with TMS pulses during wakefulness, sleep, and under anesthesia","D. Balduzzi","MPI for Intelligent Systems, Tubingen, Germany",2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"1 Dec 2011","2011","","","4717","4720","This paper relates a recently proposed measure of information integration to experiments investigating the evoked high-density electroencephalography (EEG) response to transcranial magnetic stimulation (TMS) during wakefulness, early non-rapid eye movement (NREM) sleep and under anesthesia. We show that bistability, arising at the cellular and population level during NREM sleep and under anesthesia, dramatically reduces the brain's ability to integrate information.","1558-4615","978-1-4577-1589-1","10.1109/IEMBS.2011.6091168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6091168","","Sleep;Neurons;Anesthesia;Electroencephalography;Brain modeling;Logic gates;Indexes","Anesthesia;Brain;Electroencephalography;Eye Movements;Sleep;Transcranial Magnetic Stimulation;Wakefulness","","","16","IEEE","1 Dec 2011","30 Aug.-3 Sept. 2011","30 Aug.-3 Sept. 2011","IEEE","IEEE Conferences"
"Sex Difference in EEG Functional Connectivity during Sleep Stages and Resting Wake State Based on Weighted Phase Lag Index","Y. Liao; G. Zhou; Y. -x. Luo","School of Engineering, Sun Yat-Sen University, Guangzhou, China; School of Engineering, Sun Yat-Sen University, Guangzhou, China; Guangdong Provincial Key Laboratory of Sensor Technology and Biomedical Instrument, Sun Yat-Sen University, Guangzhou, China",2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"7 Oct 2019","2019","","","648","651","Men and women were reported to be different in brain structure and sleep patterns. Here we analyzed the region, sleep stage and frequency band-specific EEG synchronization intensity of whole night sleep recording of 14 male and 14 age-matched female subjects by calculating weighted phase lag indexes. Moreover, resting wakeful stage EEG was also analyzed and compared. The synchronization intensities showed significant gender differences in all stages and bands: higher in women in non-rapid eye movement (NREM) sleep, and higher in men in α and β bands in wakeful stage and rapid eye movement (REM) sleep. However, Except for α band, the similar changing trends in characteristics of EEG synchronization during different stages were found in both male and female subjects. These results suggest that there may be some differences in the mechanisms of sleep regulation between men and women. Moreover, the synchronous intensity of different sleep stages in different frequency bands of male and female groups was not consistent with the influence of age, which may be related to the gender differences in aging patterns.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8857296","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8857296","Sex differences;weighted phase lag index;sleep stages;resting wakeful stage","Sleep;Synchronization;Electroencephalography;Correlation;Indexes;Sociology","Electroencephalography;Female;Humans;Male;Sleep Stages;Wakefulness","4","","11","IEEE","7 Oct 2019","23-27 July 2019","23-27 July 2019","IEEE","IEEE Conferences"
"EEG Feature Analysis for Detecting the Fluctuation of Consciousness Level during Propofol Anesthesia","Y. Zhang; Y. Wang; S. Cai; J. Li; J. Ren; Q. Wang; L. Huang","School of Life Science and Technology, Xidian University, Xian, China; School of Life Science and Technology, Xidian University, Xian, China; School of Life Science and Technology, Xidian University, Xian, China; School of Life Science and Technology, Xidian University, Xian, China; School of Life Science and Technology, Xidian University, Xian, China; Department of Anesthesiology, The First Affiliated Hospital of Xi’an Jiaotong University, Xian, China; School of Life Science and Technology, Xidian University, Xian, China",2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"7 Oct 2019","2019","","","4525","4528","Various EEG features have been proposed for differentiating the consciousness and unconsciousness states during general anesthesia. However, their performance for detecting the fluctuation of consciousness level remains unclear. In this work, we recorded 60-channels EEG data during propofol anesthesia, and extracted 110 EEG features that were shown to be sensitive to the change of consciousness level. Then, we used classification model to evaluate the performance of these features in distinguishing the response state fluctuating around the point of loss of behavioral responsiveness (LOBR) to external stimuli. We found that EEG features, including delta power, SynchFastSlow, and the topographical ratio of alpha power, were efficient in distinguishing the stable change in consciousness level with an accuracy of 95.8%, however, these features performed poorly in distinguishing the response state around the point of LOBR with an accuracy of 66.9%. Using EEG features selected specifically for detecting consciousness fluctuation, approximately 10% improvement in accuracy was obtained. Our results suggested that the EEG features that were sensitive to the stable change of consciousness level and fluctuation of consciousness level were largely different. EEG features including theta band power and functional connectivity are more relevant to the fluctuation of consciousness level.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8857459","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8857459","","Electroencephalography;Electrodes;Feature extraction;Anesthesia;Surgery;Training;Monitoring","Anesthesia, General;Consciousness;Electroencephalography;Humans;Hypnotics and Sedatives;Propofol;Unconsciousness","","","14","IEEE","7 Oct 2019","23-27 July 2019","23-27 July 2019","IEEE","IEEE Conferences"
"The Brain function index as a depth of anesthesia indicator using complexity measures","R. Shalbaf; H. Behnam; H. J. Moghadam; A. Mehrnam; M. Sadaghiani","University of Science & Technology, School of Electrical Engineering, Tehran, Iran; University of Science & Technology, School of Electrical Engineering, Tehran, Iran; Department of Anesthesia, Shahid Beheshti University, Tehran, Iran; R&D Dep., Saadat Co., Tehran, Iran; R&D Dep., Saadat Co., Tehran, Iran","2013 IEEE Conference on Systems, Process & Control (ICSPC)","10 Feb 2014","2013","","","68","72","Monitoring depth of anesthesia using the Electroencephalogram (EEG) is a major ongoing challenge in anesthesia research. This paper offers a real-time method based on combination of permutation entropy and burst suppression pattern ratio to calculate an index, called Brain function index (BFI), to quantify the effect of anesthetic drug on brain activity quickly and accurately. Such a method implemented in the Saadat brain function assessment module (Saadat Co., Tehran, Iran). The BFI and commercial Bispectral index (BIS) are applied to EEG signals collected from 25 patients during general surgery. The results show that both BFI and BIS track the gross changes in EEG especially at high doses of anesthetics. However, the BFI index has significant advantages as; it has an open source algorithm and doesn't involve a complex mixture of three unrelated sub-indices; it is less sensitive to the noise embedded in the EEG signal and it considerably reduces computational complexity.","","978-1-4799-2209-3","10.1109/SPC.2013.6735105","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6735105","Electroencephalogram (EEG);complexity measures;permutation entropy;burst suppression;depth of anesthesia","Electroencephalography;Indexes;Anesthesia;Monitoring;Entropy;Accuracy;Complexity theory","","3","","19","IEEE","10 Feb 2014","13-15 Dec. 2013","13-15 Dec. 2013","IEEE","IEEE Conferences"
"Synchronization of brain activity during induction of propofol anesthesia: Comparison of methods","T. Lipping; J. Saareleht; E. Olejarczyk; E. Sonkajärvi; T. Ylinen; V. Jäntti","Information Technology Dept. in Pori, Tampere University of Technology, Pori, Finland; Institute of Biomedical Engineering, Tallinn University of Technology, Tallinn, Estonia; Na??cz Institute of Biocybernetics and Biomedical Engineering, Polish Academy of Sciences, Warsaw, Poland; Oulu University Hospital, Oulu, Finland; Department of Clinical Neurophysiology, Seinajoki Central Hospital, Seinäjoki, Finland; Department of Clinical Neurophysiology, Seinajoki Central Hospital, Seinäjoki, Finland",2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"18 Oct 2016","2016","","","5505","5508","Synchrony patterns between the EEG measured from the subthalamic nucleus and scalp are analyzed during induction of propofol anesthesia. Various methods such as Coherence, Phase Locking Value, Partial Directed Coherence, Mutual Information, and Transfer Entropy are applied. The results indicate that, in general, the synchrony patterns seen in the depth-scalp electrode pair are similar to those seen between two scalp electrodes of opposite hemispheres. A clear change of state is revealed at about 10 minutes before burst suppression; this event is revealed by linear (Coherence) as well as nonlinear (Phase Locking Value) and information theoretic (Mutual Information and Transfer Entropy) measures. The results suggest that relatively large depth electrodes such as those used in the treatment of the Parkinson's disease are predominantly sensitive to cortical activity.","1558-4615","978-1-4577-0220-4","10.1109/EMBC.2016.7591973","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7591973","","Electrodes;Coherence;Electroencephalography;Synchronization;Anesthesia;Scalp;Entropy","Anesthesia;Electrodes;Electroencephalography;Humans;Propofol;Scalp;Signal Processing, Computer-Assisted;Subthalamic Nucleus","2","","10","IEEE","18 Oct 2016","16-20 Aug. 2016","16-20 Aug. 2016","IEEE","IEEE Conferences"
"Anesthesia-related changes in information transfer may be caused by reduction in local information generation","P. Wollstadt; K. K. Sellers; A. Hutt; F. Frohlich; M. Wibral","MEG Unit, Goethe University, Frankfurt, Germany; University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA; Univcrsite de Lorraine, France; University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA; MEG Unit, Goethe University, Frankfurt, Germany",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"5 Nov 2015","2015","","","4045","4048","In anesthesia research it is an open question how general anesthetics lead to loss of consciousness (LOC). It has been proposed that LOC may be caused by the disruption of cortical information processing, preventing information integration. Therefore, recent studies investigating information processing under anesthesia focused on changes in information transfer, measured by transfer entropy (TE). However, often this complex technique was not applied rigorously, using time series in symbolic representation, or using TE differences without accounting for neural conduction delays, or without accounting for signal history.","1558-4615","978-1-4244-9271-8","10.1109/EMBC.2015.7319282","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7319282","","Anesthesia;Entropy;Delays;Yttrium;Time series analysis;Estimation;Complexity theory","Anesthesia;Animals;Brain;Entropy;Ferrets;Isoflurane;Prefrontal Cortex;Unconsciousness;Visual Cortex;Wakefulness","5","","30","IEEE","5 Nov 2015","25-29 Aug. 2015","25-29 Aug. 2015","IEEE","IEEE Conferences"
"Classifying Depth of Anesthesia Using EEG Features, a Comparison","V. Esmaeili; M. B. Shamsollahi; N. M. Arefian; A. Assareh","Biomedical Signal and Image Processing Laboratory (BiSIPL), School of Electrical Engineering, Sharif University of Technology, Iran; Biomedical Signal and Image Processing Laboratory (BiSIPL), School of Electrical Engineering, Sharif University of Technology, Iran; Department of Anesthesia, Shahid Beheshti University, Iran; Biomedical Engineering Faculty of Amirkabir, University of Technology, Iran",2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"22 Oct 2007","2007","","","4106","4109","Various EEG features have been used in depth of anesthesia (DOA) studies. The objective of this study was to find the excellent features or combination of them than can discriminate between different anesthesia states. Conducting a clinical study on 22 patients we could define 4 distinct anesthetic states: awake, moderate, general anesthesia, and isoelectric. We examined features that have been used in earlier studies using single-channel EEG signal processing method. The maximum accuracy (99.02%) achieved using approximate entropy as the feature. Some other features could well discriminate a particular state of anesthesia. We could completely classify the patterns by means of 3 features and Bayesian classifier.","1558-4615","978-1-4244-0787-3","10.1109/IEMBS.2007.4353239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4353239","","Anesthesia;Electroencephalography;Anesthetic drugs;Frequency;Entropy;Biomedical monitoring;Surgery;Biomedical measurements;Condition monitoring;Signal processing","Adolescent;Adult;Aged;Anesthesia, Inhalation;Anesthesia, Intravenous;Electroencephalography;Female;Humans;Male;Middle Aged;Monitoring, Intraoperative;Urologic Surgical Procedures","2","1","13","IEEE","22 Oct 2007","22-26 Aug. 2007","22-26 Aug. 2007","IEEE","IEEE Conferences"
"A new method for evaluating the performance of depth-of-hypnosis indices - the D-value","T. Lipping; R. Ferenets; E. P. Mortier; M. M. R. F. Struys","Pori Unit of Tampere University of Technology, Pori, Finland; Pori Unit of Tampere University of Technology, Pori, Finland; Department of Anesthesia, Ghent University IMEC IBBT, Ghent, Belgium; Department of Anesthesia, Ghent University IMEC IBBT, Ghent, Belgium",2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"22 Oct 2007","2007","","","6487","6490","An alternative statistic, the D-value, is presented for the evaluation of the performance of EEG-based depth- of-hypnosis measures against the Observers' Assessment of Alertness/Sedation scale. The measures considered here are spectral entropy, approximate entropy, Lempel-Ziv complexity and Higuchi fractal dimension. The study is based on recordings from 45 patients, divided into three groups of 15 recordings each. Patients of Group I received no remifentanil while patients of Groups II and III received 2 and 4 ng/ml effect compartment controlled remifentanil. All the patients received stepwise increased dose of propofol. The study shows that the D-value is a promising and flexible statistic for the evaluation of the discriminative power of the EEG measures with respect to the OAA/S scale. The D-value indicates well the dependence of the performance of the measures on the EEG frequency band as well as on remifentanil concentration.","1558-4615","978-1-4244-0787-3","10.1109/IEMBS.2007.4353845","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4353845","","Electroencephalography;Entropy;Statistics;Fractals;Frequency measurement;Anesthesia;Particle measurements;Rain;Power measurement;Medical conditions","Adolescent;Adult;Analgesics, Opioid;Anesthesia;Anesthetics, Intravenous;Data Interpretation, Statistical;Deep Sedation;Electroencephalography;Humans;Middle Aged;Piperidines;Propofol","1","","6","IEEE","22 Oct 2007","22-26 Aug. 2007","22-26 Aug. 2007","IEEE","IEEE Conferences"
"An Accurate EEG-based Deep Learning Classifier for Monitoring Depth of Anesthesia","M. I. Dutt; W. Saadeh","Department of Electrical Engineering, Lahore University of Management and Sciences (LUMS), Lahore, Pakistan; Department of Electrical Engineering, Lahore University of Management and Sciences (LUMS), Lahore, Pakistan",2022 IEEE International Symposium on Circuits and Systems (ISCAS),"11 Nov 2022","2022","","","1768","1772","Conventionally, monitoring the depth of anesthesia (DoA) is performed using the standard procedures of either observing the patient’s vitals or through commercial electroencephalogram (EEG)-based monitors. The reports of intraoperative awareness indicate that these methods are still unreliable for all patients and anesthetic agents. This paper proposes a novel approach for accurate DoA estimation based on Stationary Wavelet Transform (SWT) and fractal features while utilizing Multilayer Perceptron (MLP) Classifier, a class of Feed Forward Neural Network. The classifier utilizes an optimized temporal, fractal and spectral feature set to identify the patient conscious level irrespective of age and the type of anesthetic agent. The proposed algorithm is validated on 95 patients (age 5 months-67 years), (weight: 6 - 90 Kg). The anesthetic agents used in this study include Propofol, Sevoflurane, Isoflurane, Fentanyl, Ketamine, and Caudal. The proposed DoA classifier outperforms the state-of-the-art DoA prediction algorithms with the highest accuracy of 96.8% while utilizing minimized feature set and a deep learning-based MLP classifier for the first time in literature.","2158-1525","978-1-6654-8485-5","10.1109/ISCAS48785.2022.9937408","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9937408","anesthesia;multilayer perceptron (MLP) classifier;electroencephalogram (EEG);stationary wavelet transform (SWT)","Deep learning;Direction-of-arrival estimation;Estimation;Anesthesia;Prediction algorithms;Fractals;Classification algorithms","","8","","28","IEEE","11 Nov 2022","27 May-1 June 2022","27 May-1 June 2022","IEEE","IEEE Conferences"
"Monitoring the depth of anesthesia from rat EEG using modified Shannon entropy analysis","Y. -G. Yoon; T. -H. Kim; D. -W. Jeong; S. -H. Park","KAIST Institute for Infonnation Technology Convergence, Daejeon, South Korea; Department of Bio and Brain Engineering, KAIST, Daejeon, South Korea; Department of Bio and Brain Engineering, KAIST, Daejeon, South Korea; KAIST Institute for Infonnation Technology Convergence, Daejeon, South Korea",2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society,"1 Dec 2011","2011","","","4386","4389","In this paper, an entropy based method for quantifying the depth of anesthesia from rat EEG is presented. The proposed index for the depth of anesthesia called modified Shannon entropy (MShEn) is based on Shannon entropy (ShEn) and spectral entropy (SpEn) which are widely used for analyzing non-stationary signals. Discrimination power (DP), as a performance indicator for indexes, is defined and used to derive the final index for the depth of anesthesia. For experiment, EEG from anesthetized rats are measured and analyzed by using MShEn. MShEn shows both high stability and high correlation with other indexes for depth of anesthesia.","1558-4615","978-1-4577-1589-1","10.1109/IEMBS.2011.6091088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6091088","","Anesthesia;Entropy;Electroencephalography;Indexes;Rats;Monitoring;Electrodes","Anesthesia;Animals;Electroencephalography;Entropy;Rats","5","","12","IEEE","1 Dec 2011","30 Aug.-3 Sept. 2011","30 Aug.-3 Sept. 2011","IEEE","IEEE Conferences"
"Estimating Depth of Anesthesia with Sparsity Measure of EEG Data in Wavelet Domain","D. Li; Z. Liang; X. Li","Institute of Information Science and Engineering, Yanshan University, Qinhuangdao, Hebei, China; Institute of Information Science and Engineering, Yanshan University, Qinhuangdao, Hebei, China; Institute of Information Science and Engineering, Yanshan University, Qinhuangdao, Hebei, China",2009 2nd International Conference on Biomedical Engineering and Informatics,"30 Oct 2009","2009","","","1","5","Monitoring the effect of anesthetic drug on the central nervous system is challenging in the surgery. Several methods based on the electroencephalogram (EEG) have been proposed to estimate the depth of anesthesia (DOA). In this paper, a novel method is proposed to estimate the DOA with the sparsity measure of EEG data. The performance of the new DOA measure is assessed by pharmacokinetic/pharmacodynamic (PKPD) modeling and prediction probability analysis. The test of 17 cases shows this measure may efficiently track the effect of the sevoflurane on the brain activity.","1948-2922","978-1-4244-4132-7","10.1109/BMEI.2009.5305340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5305340","","Anesthesia;Electroencephalography;Wavelet domain;Direction of arrival estimation;Monitoring;Anesthetic drugs;Central nervous system;Surgery;Brain modeling;Predictive models","","","","20","IEEE","30 Oct 2009","17-19 Oct. 2009","17-19 Oct. 2009","IEEE","IEEE Conferences"
